x,y,z,r,g,b,
0.0540763,0.330972,-0.784649,209,246,193,
0.063762,0.328345,-0.786882,141,188,151,
0.174041,0.327513,-0.791387,199,255,213,
0.0381374,0.328413,-0.786882,215,249,199,
-0.106314,0.324201,-0.778464,117,172,138,
0.0790155,0.324775,-0.795485,125,178,148,
0.0884641,0.32102,-0.794114,191,243,204,
0.0675387,0.319648,-0.793203,197,240,194,
0.298783,0.30945,-0.778464,181,241,223,
-0.0393465,0.316562,-0.786882,138,185,150,
0.104478,0.317333,-0.800088,201,249,199,
-0.0292726,0.3148,-0.790934,185,236,189,
-0.00362359,0.312459,-0.791387,139,182,138,
-0.100215,0.306946,-0.778464,131,187,147,
0.298183,0.299097,-0.778464,191,246,226,
0.0168421,0.304979,-0.790482,218,254,200,
-0.119767,0.30253,-0.778464,127,178,135,
-0.0412688,0.304723,-0.79686,135,189,146,
0.00875932,0.302779,-0.795485,124,177,135,
-0.0117578,0.302087,-0.800088,167,221,171,
0.0238966,0.297612,-0.79457,123,169,132,
-0.0958438,0.296439,-0.786882,210,254,189,
-0.00615985,0.293732,-0.814704,185,234,180,
-0.0550234,0.289756,-0.807094,148,193,144,
0.0606896,0.284736,-0.808983,156,195,148,
-0.0428922,0.288654,-0.817111,198,254,200,
0.0441006,0.283588,-0.816629,131,172,137,
-0.062529,0.287394,-0.827876,202,252,193,
-0.0548853,0.28311,-0.829366,129,179,136,
0.0830603,0.27539,-0.82442,182,236,186,
-0.101424,0.275689,-0.838927,249,255,239,
0.086872,0.270754,-0.844049,113,167,140,
-0.0624795,0.271433,-0.842506,189,239,185,
0.170568,0.262329,-0.835379,161,224,183,
0.100123,0.264787,-0.85185,217,253,227,
-0.0885811,0.259648,-0.846633,189,241,190,
0.0978319,0.250919,-0.850278,225,253,216,
0.295572,0.188408,-0.778464,199,253,226,
0.286575,0.190762,-0.835379,104,162,152,
0.310776,0.180566,-0.833365,133,187,172,
0.278951,0.180792,-0.84148,167,253,233,
0.269511,0.181757,-0.848712,166,254,241,
0.297659,0.168347,-0.829366,212,255,230,
0.296178,0.147894,-0.83136,201,252,224,
0.211216,0.131605,-0.898345,152,220,198,
0.228141,0.118115,-0.900099,188,235,198,
0.252028,0.111105,-0.897179,210,253,216,
0.215193,0.111787,-0.898929,194,235,206,
0.325938,0.113482,-0.948253,155,229,214,
0.300379,0.0975284,-0.932896,186,254,238,
0.326699,0.096692,-0.946306,153,228,209,
0.238915,-0.467291,-0.828868,83,132,113,
0.261298,0.0837821,-0.907782,191,248,218,
0.21451,0.0779845,-0.889673,172,228,200,
0.22406,0.0765159,-0.889101,121,174,153,
0.224993,0.0662083,-0.881168,236,254,235,
0.321389,0.0587316,-0.934157,147,221,206,
0.203358,0.0552908,-0.88455,121,176,164,
0.186513,0.0540267,-0.88682,100,165,152,
0.256769,0.0514667,-0.889673,212,255,240,
0.194376,0.0481034,-0.875587,238,253,251,
-0.44596,-0.379698,-1.67379,147,239,209,
0.278249,0.0383363,-0.907187,182,243,219,
0.253679,0.0298384,-0.872273,108,171,162,
0.194253,0.0258779,-0.865718,246,254,250,
0.234585,0.0212041,-0.861403,223,255,225,
0.310114,0.0132358,-0.889101,210,253,239,
0.215762,-0.00356823,-0.872823,177,236,205,
0.314685,-0.00713248,-0.89082,218,252,237,
0.289433,-0.0089282,-0.863016,165,220,186,
0.331804,-0.0211489,-0.894277,153,225,211,
0.207464,-0.0229354,-0.902449,168,237,202,
0.257311,-0.0263974,-0.867348,132,188,163,
0.314012,-0.0411079,-0.891969,115,179,170,
0.250272,-0.0389094,-0.872823,119,174,152,
0.230123,-0.0426386,-0.876142,181,233,198,
0.223638,-0.0451748,-0.873375,188,235,197,
0.2863,-0.0506943,-0.89082,186,244,215,
0.209664,-0.0557221,-0.88342,164,217,183,
0.329656,-0.0645637,-0.903039,156,230,214,
0.192151,-0.0796444,-0.88455,157,214,178,
0.216583,-0.0849354,-0.889101,182,236,198,
0.279773,-0.086984,-0.898929,197,251,209,
0.246249,-0.0888326,-0.871174,199,250,217,
0.198094,-0.0923913,-0.883985,195,237,197,
0.215201,-0.111569,-0.880607,163,223,194,
0.252025,-0.114086,-0.881168,207,253,216,
0.271913,-0.118537,-0.88682,164,205,172,
0.287295,-0.118356,-0.887959,214,254,219,
0.285938,-0.131693,-0.86953,175,239,214,
0.342145,-0.142946,-0.91925,134,209,200,
0.231925,-0.140008,-0.879486,177,222,187,
0.241646,-0.143718,-0.872823,121,168,143,
0.257277,-0.149747,-0.872823,145,200,167,
0.227013,-0.15519,-0.86953,198,231,190,
0.234573,-0.167577,-0.866804,103,155,140,
0.257294,-0.170485,-0.863555,197,243,206,
0.283432,-0.181598,-0.895435,181,232,199,
0.325656,-0.190484,-0.897761,162,230,199,
0.290158,-0.192687,-0.88455,173,239,217,
0.23022,-0.187801,-0.862478,113,168,147,
0.204379,-0.216793,-0.989658,136,212,187,
0.236931,-0.191663,-0.85554,197,244,209,
0.270057,-0.198189,-0.877254,144,190,162,
0.274112,-0.20909,-0.85554,200,249,213,
0.194056,-0.25291,-0.968852,167,253,231,
0.176681,-0.264326,-0.945658,126,194,163,
0.188603,-0.250526,-0.887389,140,193,148,
0.283791,-0.243054,-0.857663,170,224,197,
0.212654,-0.248048,-0.870077,175,229,192,
0.192374,-0.248983,-0.859262,249,254,241,
0.168618,-0.298577,-1.00403,113,199,164,
0.270353,-0.252149,-0.844565,131,173,147,
0.185582,-0.258091,-0.863016,111,168,145,
0.173363,-0.25474,-0.854482,249,250,250,
0.237261,-0.254629,-0.843534,194,239,201,
0.216262,-0.26512,-0.870077,157,211,173,
0.172654,-0.307368,-0.998233,161,253,224,
0.283623,-0.280896,-0.864636,128,172,151,
0.300038,-0.287274,-0.85607,206,242,207,
0.308489,-0.330172,-0.838927,128,171,150,
0.243193,-0.339166,-0.831861,112,157,132,
0.25433,-0.34491,-0.828868,222,251,234,
0.238937,-0.354651,-0.83639,204,255,212,
0.298701,-0.377571,-0.843534,183,228,197,
0.235667,-0.400304,-0.815184,157,208,170,
0.307287,-0.411264,-0.817595,177,222,193,
0.260818,-0.424374,-0.823438,206,254,206,
0.209594,-0.440288,-0.838927,158,215,173,
0.277411,-0.433855,-0.823438,187,230,187,
0.301135,-0.454151,-0.830362,94,138,120,
0.287208,-0.46267,-0.837911,99,145,126,
0.264468,-0.465055,-0.809931,163,223,191,
0.300656,-0.513623,-0.828868,165,228,183,
-0.0366176,0.451318,-0.778464,115,147,114,
0.24815,0.458206,-0.806623,160,218,209,
0.0891993,0.259237,-0.848192,192,250,199,
0.288448,-0.462282,-0.836896,100,146,129,
0.273618,0.46398,-0.835884,164,216,201,
-0.0692319,0.434596,-0.778464,210,246,191,
-0.0821537,0.434177,-0.778464,139,181,140,
-0.041022,0.430288,-0.778464,211,245,196,
-0.13081,0.4294,-0.778464,211,244,183,
0.0286723,0.425231,-0.778464,129,162,127,
-0.0687964,0.423224,-0.778464,129,175,140,
0.00709988,0.419146,-0.778464,222,253,203,
-0.124705,0.418847,-0.778464,137,176,132,
-0.0213665,0.414284,-0.778464,198,239,193,
-0.102023,0.414478,-0.778464,212,251,195,
-0.114189,0.4113,-0.778464,121,159,122,
0.0404966,0.399004,-0.778464,133,179,148,
-0.0410798,0.401006,-0.778464,174,228,188,
-0.0757231,0.401796,-0.778464,186,235,183,
-0.0638348,0.398828,-0.778464,191,233,181,
0.110304,0.39457,-0.783316,173,228,182,
-0.0106857,0.393331,-0.778464,213,254,206,
-0.132206,0.394053,-0.778464,180,229,175,
0.0027547,0.390101,-0.778464,136,183,146,
0.363283,0.514947,-1.05217,162,219,188,
-0.0204005,0.385971,-0.778464,127,166,131,
-0.0193959,0.373652,-0.778464,203,254,204,
0.0359714,0.368651,-0.778464,204,246,198,
0.0452838,0.35739,-0.778464,144,201,170,
0.085189,0.355851,-0.784204,130,178,143,
0.105931,0.354935,-0.785988,131,183,146,
0.104736,0.316718,-0.800551,199,247,197,
0.122257,0.34642,-0.791387,134,185,154,
0.0944271,0.339257,-0.787779,184,242,193,
